"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"rr2","rr2","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.2",NA,"R (>= 3.0), stats","lme4, phylolm, ape, utils, Matrix, nlme",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"rrcov","rrcov","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7-0",NA,"R (>= 2.10), robustbase (>= 0.92.1), methods","stats, stats4, mvtnorm, lattice, pcaPP",NA,"grid, MASS",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"rsample","rsample","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.1",NA,"R (>= 3.2)","dplyr (>= 1.0.0), ellipsis, furrr, generics, lifecycle,
methods, purrr, rlang (>= 0.4.10), slider (>= 0.1.5), tibble,
tidyr, tidyselect, vctrs (>= 0.3.0)",NA,"broom, covr, ggplot2, knitr, modeldata, recipes (>= 0.1.4),
rmarkdown, stats, testthat, utils, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rsconnect","rsconnect","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.26",NA,"R (>= 3.0.0)","curl, digest, jsonlite, openssl (>= 2.0.0), packrat (>= 0.6),
rstudioapi (>= 0.5), tools, yaml (>= 2.1.5)",NA,"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"RSpectra","RSpectra","C:/Users/romai/AppData/Local/R/win-library/4.2","0.16-1",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RSQLite","RSQLite","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2.14",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","callr, DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms,
rvest, testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.2.0"
"rstan","rstan","C:/Users/romai/AppData/Local/R/win-library/4.2","2.21.5",NA,"R (>= 3.4.0), StanHeaders (>= 2.21.0), ggplot2 (>= 3.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), RcppParallel (>= 5.0.1), loo (>= 2.3.0), pkgbuild","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>=
1.72.0-2), StanHeaders (>= 2.21.0), RcppParallel","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.72.0-2), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1),
V8",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"rstanarm","rstanarm","C:/Users/romai/AppData/Local/R/win-library/4.2","2.21.3",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods","bayesplot (>= 1.7.0), ggplot2 (>= 2.2.1), lme4 (>= 1.1-8), loo
(>= 2.1.0), Matrix (>= 1.2-13), nlme (>= 3.1-124), rstan (>=
2.21.1), rstantools (>= 2.1.0), shinystan (>= 2.3.0), stats,
survival (>= 2.40.1), RcppParallel (>= 5.0.1), utils","StanHeaders (>= 2.21.0), rstan (>= 2.21.1), BH (>=
1.72.0-2), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1)","biglm, betareg, data.table (>= 1.10.0), digest, gridExtra,
HSAUR3, knitr (>= 1.15.1), MASS, mgcv (>= 1.8-13), rmarkdown,
roxygen2, StanHeaders (>= 2.21.0), testthat (>= 1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"rstantools","rstantools","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2.0",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"rstatix","rstatix","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.0",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.0.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"rstudioapi","rstudioapi","C:/Users/romai/AppData/Local/R/win-library/4.2","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rsvg","rsvg","C:/Users/romai/AppData/Local/R/win-library/4.2","2.3.1",NA,NA,NA,NA,"ggplot2, knitr, magick, rmarkdown, spelling, svglite, webp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rtide","rtide","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0.9",NA,"R (>= 3.4)","abind, chk, dttr2, tibble, utils",NA,"covr, ggplot2, scales, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"rtrim","rtrim","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.1",NA,NA,"methods, utils, stats, graphics, grDevices",NA,"testthat, knitr, rmarkdown, R.rsp",NA,"EUPL",NA,NA,NA,NA,"no","4.2.0"
"RUnit","RUnit","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.32",NA,"R (>= 2.5.0), utils (>= 2.5.0), methods (>= 2.5.0), graphics
(>= 2.5.0)",NA,NA,"XML (>= 3.1.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"RVAideMemoire","RVAideMemoire","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9-81-2",NA,NA,"ade4 (>= 1.7-8), boot, car, FactoMineR, graphics, grDevices,
lme4 (>= 1.0-4), MASS, mixOmics, nnet, pls, pspearman, stats,
utils, vegan (>= 2.4-3)",NA,"ape, betareg, dgof, emmeans, EMT, FSA, glmmTMB, labdsv,
MuMIn, mvnormtest, ordinal, RGCCA, statmod, survival","glmmADMB","GPL-2",NA,NA,NA,NA,"no","4.2.2"
"rversions","rversions","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.1",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rvest","rvest","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.2",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"s2","s2","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.2.0"
"sandwich","sandwich","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0-1",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"SASmixed","SASmixed","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-4",NA,"R (>= 2.14.0),",NA,NA,"lme4, lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"sass","sass","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.1",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"satellite","satellite","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.4",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"scales","scales","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"scatterplot3d","scatterplot3d","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"scico","scico","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.0",NA,"R (>= 3.5.0)","scales, grDevices",NA,"ggplot2, testthat, dplyr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"scoringRules","scoringRules","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 3.00)","Rcpp (>= 0.12.0), methods, MASS, knitr","Rcpp, RcppArmadillo","gsl (>= 1.8-3), hypergeo(>= 1.0), rmarkdown, testthat, crch",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"scs","scs","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0-0",NA,"R (>= 3.5.0)",NA,NA,"Matrix, slam, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"see","see","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.0",NA,"graphics, grDevices, R (>= 3.4), stats","bayestestR (>= 0.11.5), datawizard (>= 0.4.0), effectsize (>=
0.6), ggplot2 (>= 3.3.5), insight (>= 0.17.0), parameters (>=
0.17.0)",NA,"brms, coda, correlation, emmeans, factoextra, ggdist, ggraph,
ggrepel, ggridges, ggside, glmmTMB, grid, httr, lavaan, lme4,
logspline, MASS, mclust, mgcv, metafor, modelbased, NbClust,
nFactors, patchwork, performance (>= 0.9.0), poorman, psych,
qqplotr, randomForest, rmarkdown, rstanarm, spelling, splines,
testthat (>= 3.1.0), tidygraph, vdiffr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"segmented","segmented","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6-0",NA,"MASS, nlme",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"selectr","selectr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.2.0"
"semEff","semEff","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.0",NA,"R (>= 3.6.0)","boot, gsl, lme4, parallel, stats, utils",NA,"ggplot2, knitr, markdown, piecewiseSEM, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"seqinr","seqinr","C:/Users/romai/AppData/Local/R/win-library/4.2","4.2-16",NA,"R (>= 2.10.0)","ade4,segmented",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"seriation","seriation","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.5",NA,"R (>= 2.14.0)","stats, grDevices, grid, TSP, qap, cluster, gclus, colorspace,
MASS, registry",NA,"DendSer, GA, Rtsne, dbscan, umap, testthat, dendextend,
ggplot2, scales",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"servr","servr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.24",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"sessioninfo","sessioninfo","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"setRNG","setRNG","C:/Users/romai/AppData/Local/R/win-library/4.2","2022.4-1",NA,"R (>= 2.5.0)","stats",NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"sets","sets","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-21",NA,"R (>= 2.7.0)","graphics,grDevices,stats,utils",NA,"proxy",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"sf","sf","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-7",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.7), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pillar,
pool, raster, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.random, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.2.0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sfheaders","sfheaders","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sfsmisc","sfsmisc","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-13",NA,"R (>= 3.3.0)","grDevices, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, e1071, Hmisc,
gmp, pastecs, polynom, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"shape","shape","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"shiny","shiny","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.2.1), htmltools (>=
0.5.2), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"shinyjs","shinyjs","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"shinystan","shinystan","C:/Users/romai/AppData/Local/R/win-library/4.2","2.6.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rstan (>= 2.17.1), stats, shinyjs
(>= 0.6.0), shinythemes (>= 1.0.1), threejs (>= 0.2.1), utils,
xtable, xts (>= 0.9-7)",NA,"cmdstanr (>= 0.4.0), coda, knitr (>= 1.9), posterior (>=
1.0.0), rmarkdown (>= 0.8.1), rsconnect (>= 0.4.2), rstanarm
(>= 2.17.4), testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"shinytest","shinytest","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5.1",NA,NA,"assertthat, callr (>= 2.0.3), crayon, debugme, digest,
htmlwidgets, httpuv, httr, jsonlite, parsedate, pingr, R6,
rematch, rlang, rstudioapi (>= 0.8.0.9002), shiny (>= 1.3.2),
testthat (>= 1.0.0), utils, webdriver (>= 1.0.6), withr",NA,"flexdashboard, globals, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"shinythemes","shinythemes","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"shinyWidgets","shinyWidgets","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.0",NA,"R (>= 3.1.0)","bslib, sass, shiny (>= 1.6.0), htmltools (>= 0.5.1), jsonlite,
grDevices, rlang",NA,"shinydashboard, testthat, covr, shinydashboardPlus (>=
2.0.0), bs4Dash, argonR, argonDash, tablerDash, ggplot2, DT,
scales",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"showimage","showimage","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.0",NA,NA,"png, tools",NA,"covr, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"showtext","showtext","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9-5",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.2.0"
"showtextdb","showtextdb","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.2.0"
"SimComp","SimComp","C:/Users/romai/AppData/Local/R/win-library/4.2","3.3",NA,NA,"mvtnorm, multcomp, mratios, graphics, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"simplermarkdown","simplermarkdown","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0.4",NA,NA,"rjson, tools",NA,"MASS",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"sjlabelled","sjlabelled","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.0",NA,"R (>= 3.4)","insight, datawizard, stats, tools, utils",NA,"dplyr, haven (>= 1.1.2), magrittr, sjmisc, sjPlot, knitr,
rlang, rmarkdown, snakecase, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"sjmisc","sjmisc","C:/Users/romai/AppData/Local/R/win-library/4.2","2.8.9",NA,"R (>= 3.4)","dplyr, insight, magrittr, methods, purrr, rlang, sjlabelled
(>= 1.1.1), stats, tidyselect, utils",NA,"ggplot2, graphics, haven (>= 2.0.0), mice, nnet, sjPlot,
sjstats, knitr, rmarkdown, stringdist, testthat, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"sjPlot","sjPlot","C:/Users/romai/AppData/Local/R/win-library/4.2","2.8.10",NA,"R (>= 3.6)","graphics, grDevices, stats, utils, bayestestR, datawizard,
dplyr, effectsize, ggeffects, ggplot2 (>= 3.2.0), knitr,
insight, MASS, parameters, performance, purrr, rlang, scales,
sjlabelled (>= 1.1.2), sjmisc (>= 2.8.2), sjstats (>= 0.17.8),
tidyr (>= 1.0.0)",NA,"brms, car, clubSandwich, cluster, cowplot, haven,
GPArotation, ggrepel, glmmTMB, gridExtra, ggridges, httr, lme4,
nFactors, pscl, psych, rmarkdown, rstanarm, sandwich, splines,
survey, TMB, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"sjstats","sjstats","C:/Users/romai/AppData/Local/R/win-library/4.2","0.18.1",NA,"R (>= 3.5), utils","bayestestR, broom, dplyr, effectsize, emmeans, insight, lme4,
magrittr, MASS, modelr, parameters, performance, purrr, rlang,
sjlabelled, sjmisc, stats, tidyr",NA,"brms, car, coin, ggplot2, graphics, pscl, pwr, sjPlot,
survey, rstan, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"skewt","skewt","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"slam","slam","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-50",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"slider","slider","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.2",NA,"R (>= 3.3.0)","ellipsis (>= 0.3.1), glue, rlang (>= 0.4.5), vctrs (>= 0.3.6),
warp","vctrs (>= 0.3.6)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"slippymath","slippymath","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.1",NA,"R (>= 3.5.0)","raster, purrr, stats, png",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"sna","sna","C:/Users/romai/AppData/Local/R/win-library/4.2","2.6",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"snakecase","snakecase","C:/Users/romai/AppData/Local/R/win-library/4.2","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"SnowballC","SnowballC","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.0",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sodium","sodium","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.0",NA,NA,NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sourcetools","sourcetools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sp","sp","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4-7",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spacetime","spacetime","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-6",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes (>= 2.0), foreign, gstat (>= 1.0-16),
maps, mapdata, maptools, plm, raster, RColorBrewer, rgdal,
rgeos, rmarkdown, RPostgreSQL, knitr, googleVis, ISOcodes,
markdown, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"spam","spam","C:/Users/romai/AppData/Local/R/win-library/4.2","2.8-0",NA,"R (>= 3.1)","dotCall64, grid, methods",NA,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"spam64","spam64","C:/Users/romai/AppData/Local/R/win-library/4.2","2.8-0",NA,NA,NA,NA,"spam (== 2.8-0)",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"spaMM","spaMM","C:/Users/romai/AppData/Local/R/win-library/4.2","3.11.14",NA,"R (>= 3.2.0)","methods, stats, graphics, Matrix, MASS, proxy, Rcpp (>=
0.12.10), nlme, nloptr, minqa, pbapply, crayon, gmp (>= 0.6.0),
ROI, boot, geometry (>= 0.4.0)","Rcpp, RcppEigen (>= 0.3.3.5.0)","maps, testthat, lme4, rsae, rcdd, pedigreemm, foreach,
future, future.apply, multilevel, Infusion (>= 1.3.0), IsoriX
(>= 0.8.1), blackbox (>= 1.1.25), RSpectra, ROI.plugin.glpk,
memoise (>= 2.0.0), agridat","multcomp, RLRsim","CeCILL-2",NA,NA,NA,NA,"yes","4.2.0"
"sparkline","sparkline","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0",NA,NA,"htmltools, htmlwidgets (>= 0.8)",NA,"formattable, knitr, rmarkdown, shiny",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"SparseM","SparseM","C:/Users/romai/AppData/Local/R/win-library/4.2","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatial","spatial","C:/Users/romai/AppData/Local/R/win-library/4.2","7.3-15","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"spatialreg","spatialreg","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-3",NA,"R (>= 3.3.0), spData, Matrix, sf","spdep, expm, coda, methods, MASS, boot, splines, LearnBayes,
nlme, gmodels",NA,"parallel, RSpectra, tmap, foreign, spam, knitr, lmtest,
sandwich, rmarkdown, igraph",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"spatialwidget","spatialwidget","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.3",NA,"R (>= 3.3.0)","Rcpp","BH, colourvalues (>= 0.3.4), geojsonsf (>= 1.3.3),
geometries, jsonify (>= 1.1.1), rapidjsonr, Rcpp, sfheaders (>=
0.2.1)","colourvalues, covr, geojsonsf, jsonify, sfheaders, knitr,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
